"key","english","translation","notes"
"onboarding.stepShort","Step {{step}}","","Keep {{…}} placeholders unchanged"
"onboarding.skipFailed","Could not skip onboarding","",""
"onboarding.tryAgainLater","Please try again.","",""
"onboarding.welcome.title","Welcome to MyFace AI","",""
"onboarding.welcome.subtitle","Your personal AI face coach for skin, hair, and makeup.","",""
"onboarding.welcome.serumsAlt","Skincare serums","",""
"onboarding.welcome.getStarted","Get Started","",""
"onboarding.profile.title","Create Your Profile","",""
"onboarding.profile.heroAlt","Glowing skin illustration","",""
"onboarding.profile.nameLabel","Name","",""
"onboarding.profile.namePlaceholder","Enter your full name","",""
"onboarding.profile.emailLabel","Email","",""
"onboarding.profile.emailPlaceholder","example@email.com","",""
"onboarding.profile.passwordLabel","Password","",""
"onboarding.profile.passwordPlaceholder","Create a secure password","",""
"onboarding.profile.referralLabel","Referral code (optional)","",""
"onboarding.profile.referralPlaceholder","Friend's code, e.g. 3F2A9C1E","",""
"onboarding.profile.haveReferral","Have a referral code?","",""
"onboarding.profile.startDictation","Say your name","",""
"onboarding.profile.stopDictation","Stop dictation","",""
"onboarding.profile.dictationFailed","Could not hear you — please type your name instead.","",""
"onboarding.profile.showPassword","Show password","",""
"onboarding.profile.hidePassword","Hide password","",""
"onboarding.profile.errNameRequired","Please enter your name.","",""
"onboarding.profile.errNameTooLong","Name must be {{max}} characters or less.","","Keep {{…}} placeholders unchanged"
"onboarding.profile.errEmailRequired","Please enter your email.","",""
"onboarding.profile.errEmailInvalid","Please enter a valid email address.","",""
"onboarding.profile.errPasswordRequired","Please create a password.","",""
"onboarding.profile.errPasswordShort","Password must be at least 6 characters.","",""
"onboarding.profile.saveFailed","Unable to save your profile. Please try again.","",""
"onboarding.profile.signInA11y","Sign in to an existing account","",""
"onboarding.profile.haveAccount","Already have an account? <b>Sign In</b>","",""
"onboarding.profile.agreeTerms","By signing up, you agree to our <link>Terms</link>.","",""
"onboarding.profile.readTerms","Read the Terms of Service","",""
"onboarding.voice.title","Choose Your Coach's Voice","",""
"onboarding.voice.heading","How should we talk to you?","",""
"onboarding.voice.sub","Select the personality that best fuels your facial care routine. You can change this at any time in settings.","",""
"onboarding.voice.previewLabel","PREVIEW NOTIFICATION","",""
"onboarding.voice.tipTitle","Did you know?","",""
"onboarding.voice.tipWithVoice","Your coach replies in the voice you pick here — currently <b>{{voice}}</b>. Switch any time from Settings → Coach Style.","","Keep {{…}} placeholders unchanged"
"onboarding.voice.tipNoVoice","Your coach replies in the voice you pick here. Switch any time from Settings → Coach Style.","",""
"onboarding.voice.chooseVoice","Please choose a voice to continue.","",""
"onboarding.voice.saveFailed","Could not save your choice. Please try again.","",""
"onboarding.voice.save","Save Preference","",""
"onboarding.allergies.heading","Any Allergies or Sensitivities?","",""
"onboarding.allergies.sub","We'll flag ingredients that might cause irritation or reactions based on your profile.","",""
"onboarding.allergies.searchPlaceholder","Search other ingredients...","",""
"onboarding.allergies.searchA11y","Add another ingredient","",""
"onboarding.allergies.add","Add","",""
"onboarding.allergies.addNamed","Add {{name}}","","Keep {{…}} placeholders unchanged"
"onboarding.allergies.section","COMMON SENSITIVITIES","",""
"onboarding.allergies.quote","""We'll check every product you scan or add to your shelf against these ingredients.""","",""
"onboarding.allergies.none","I don't have any allergies","",""
"onboarding.allergies.errTooShort","Type an ingredient name (at least 2 letters) to add it.","",""
"onboarding.allergies.errMax","You can flag up to {{max}} ingredients.","","Keep {{…}} placeholders unchanged"
"onboarding.allergies.errSelect","Select at least one ingredient, or tap “I don't have any allergies”.","",""
"onboarding.allergies.saveFailed","Could not save. Please try again.","",""
"onboarding.allSet.faceAlt","Your glow profile","",""
"onboarding.allSet.titleNamed","You're All Set, {{name}}!","","Keep {{…}} placeholders unchanged"
"onboarding.allSet.title","You're All Set!","",""
"onboarding.allSet.sub","Your personalized skincare and hair routine is ready to launch.","",""
"onboarding.allSet.coachVoice","Coach Voice","",""
"onboarding.allSet.notChosen","Not chosen yet","",""
"onboarding.allSet.sensitivities","Sensitivities","",""
"onboarding.allSet.none","None","",""
"onboarding.allSet.reminders","Daily Reminders","",""
"onboarding.allSet.off","Off","",""
"onboarding.allSet.bannerAllergies_one","Based on your selections, we'll flag <b>{{count}} ingredient</b> in every product you scan.","","Keep {{…}} placeholders unchanged"
"onboarding.allSet.bannerAllergies_other","Based on your selections, we'll flag <b>{{count}} ingredients</b> in every product you scan.","","Keep {{…}} placeholders unchanged"
"onboarding.allSet.bannerVoice","Your coach will guide you in a <b>{{voice}}</b> voice — start with today's face scan.","","Keep {{…}} placeholders unchanged"
"onboarding.allSet.personal","personal","",""
"onboarding.allSet.finishFailed","Could not finish setup. Please try again.","",""
"onboarding.allSet.enter","Enter MyFace Dashboard","",""
"onboarding.allSet.agreeTerms","By continuing, you agree to our <link>terms of service</link>.","",""
"coachVoices.motivational","Motivational & Direct","",""
"coachVoices.gentle","Soft & Encouraging","",""
"coachVoices.clinical","Science-Focused","",""
"coachVoices.motivationalPreview","""Zero excuses today. 5 minutes of sculpting is all you need to win the morning. Let's go!""","",""
"coachVoices.gentlePreview","""Take a deep breath. Your skin deserves this moment of care. Whenever you're ready...""","",""
"coachVoices.clinicalPreview","""Consistent daily cleansing supports your skin barrier. Time for today's routine.""","",""
"sensitivities.fragrance","Fragrance","",""
"sensitivities.linalool","Linalool","",""
"sensitivities.parabens","Parabens","",""
"sensitivities.sulfates","Sulfates","",""
"sensitivities.nickel","Nickel","",""
"sensitivities.latex","Latex","",""
"sensitivities.formaldehyde","Formaldehyde","",""
"sensitivities.essentialoils","Essential Oils","",""
"login.errMissing","Please enter your email and password.","",""
"login.failed","Unable to sign in. Please try again.","",""
"login.heading","Welcome back","",""
"login.subheading","Sign in to continue your beauty journey.","",""
"login.email","Email","",""
"login.emailPlaceholder","you@example.com","",""
"login.password","Password","",""
"login.signIn","Sign In","",""
"login.noAccount","Don't have an account?","",""
"login.createAccount","Create account","",""
"login.signUp","Sign Up","",""
"routines.am","AM Routine","",""
"routines.pm","PM Routine","",""
"home.loadFailed","Could not load your data. Check your connection and try again.","",""
"home.checkinFailed","Could not save check-in. Please try again.","",""
"home.loading","Loading your dashboard…","",""
"home.uvMessage","Apply SPF 50+ before heading out.","",""
"home.todaysRoutine","TODAY'S ROUTINE","",""
"home.seeSteps","See steps","",""
"home.dailyStats","DAILY STATS","",""
"home.coachTip","AI COACH TIP","",""
"home.chatNow","Chat now","",""
"home.quickActions","QUICK ACTIONS","",""
"home.statStreak","STREAK","",""
"home.statPoints","POINTS","",""
"home.statLevel","LEVEL","",""
"home.statSteps","STEPS","",""
"home.levelShort","Lv {{level}}","","Keep {{…}} placeholders unchanged"
"home.greetingMorning","Good morning,","",""
"home.greetingAfternoon","Good afternoon,","",""
"home.greetingEvening","Good evening,","",""
"home.nameExclaim","{{name}}!","","Keep {{…}} placeholders unchanged"
"home.there","there","",""
"home.notifications","Notifications","",""
"home.profileSettings","Profile and settings","",""
"home.uvTitle","UV Alert: <b>{{level}}</b>","","Keep {{…}} placeholders unchanged"
"home.uvHigh","High","",""
"home.dismissUv","Dismiss UV alert","",""
"home.stepsCompleted","{{completed}} of {{total}} steps completed","","Keep {{…}} placeholders unchanged"
"home.startRoutine","Start {{title}}","","Keep {{…}} placeholders unchanged"
"home.feelingQuestion","How is your face feeling today?","",""
"home.clear","Clear","",""
"home.humidityBadge","Humidity {{level}} · {{humidity}}%","","Keep {{…}} placeholders unchanged"
"home.humidityLow","Low","",""
"home.humidityModerate","Moderate","",""
"home.humidityGood","Good","",""
"home.humidityMessage","Expect potential dryness; consider a thicker barrier cream today.","",""
"home.faceOfDay","Face of the Day","",""
"home.faceOfDaySub","Tracking your daily progress is the
best way to see results.","",""
"home.streakKeepUp","{{count}}-day streak — keep it up!","","Keep {{…}} placeholders unchanged"
"home.streakStart","Start your streak today!","",""
"home.showSkin","Show us your skin today","",""
"feelings.happy","Happy","",""
"feelings.dry","Dry","",""
"feelings.glow","Glow","",""
"feelings.soft","Soft","",""
"feelings.red","Red","",""
"feelings.oily","Oily","",""
"quickActions.scan","Scan Face","",""
"quickActions.scanDesc","AI skin analysis","",""
"quickActions.routine","View Routine","",""
"quickActions.routineDesc","AM · PM steps","",""
"quickActions.makeup","Makeup Looks","",""
"quickActions.makeupDesc","Virtual try-on","",""
"quickActions.community","Community","",""
"quickActions.communityDesc","Friends · Tips","",""
"coachTip.label","AI Coach","",""
"coachTip.next","Next tip","",""
"coachTip.reply","Reply","",""
"coachTip.replyA11y","Voice reply to coach","",""
"coachTip.tip1","""Tapping your serum gently into the skin instead of rubbing can increase absorption by 20%! Have you tried it this morning?""","",""
"coachTip.tip2","""Always apply SPF as the final step of your AM routine — even on cloudy days, UV rays penetrate clouds.""","",""
"coachTip.tip3","""Drinking 8 glasses of water daily helps maintain skin elasticity and reduces the appearance of fine lines.""","",""
"time.minutesShort","{{count}}m","","Keep {{…}} placeholders unchanged"
"time.hoursShort","{{count}}h","","Keep {{…}} placeholders unchanged"
"time.daysShort","{{count}}d","","Keep {{…}} placeholders unchanged"
"time.am","AM","",""
"time.pm","PM","",""
"time.hour","hour","",""
"time.minute","minute","",""
"time.justNow","just now","",""
"time.minutesAgo_one","{{count}} minute ago","","Keep {{…}} placeholders unchanged"
"time.minutesAgo_other","{{count}} minutes ago","","Keep {{…}} placeholders unchanged"
"time.hoursAgo_one","{{count}} hour ago","","Keep {{…}} placeholders unchanged"
"time.hoursAgo_other","{{count}} hours ago","","Keep {{…}} placeholders unchanged"
"time.daysAgo_one","{{count}} day ago","","Keep {{…}} placeholders unchanged"
"time.daysAgo_other","{{count}} days ago","","Keep {{…}} placeholders unchanged"
"time.thousandShort","{{n}}k","","Keep {{…}} placeholders unchanged"
"time.mAgo","{{count}}m ago","","Keep {{…}} placeholders unchanged"
"time.hAgo","{{count}}h ago","","Keep {{…}} placeholders unchanged"
"time.dAgo","{{count}}d ago","","Keep {{…}} placeholders unchanged"
"friendsActivity.title","FRIENDS ACTIVITY","",""
"friendsActivity.seeAll","See all","",""
"friendsActivity.seeAllA11y","See all friends activity","",""
"friendsActivity.like","Like {{name}}'s activity","","Keep {{…}} placeholders unchanged"
"friendsActivity.completedAm","completed AM Routine","",""
"friendsActivity.startedGlow","started a 7-day Glow challenge","",""
"friendsActivity.hitStreak","hit a 30-day streak!","",""
"friendsActivity.tagRoutine","Routine","",""
"friendsActivity.tagChallenge","Challenge","",""
"friendsActivity.tagStreak","Streak","",""
"routineSteps.cleanser.category","CLEANSER","",""
"routineSteps.cleanser.title","Gentle Cleanser","",""
"routineSteps.cleanser.instructions","Massage onto damp skin for 30 seconds, then rinse with lukewarm water.","",""
"routineSteps.toner.category","TONER & MIST","",""
"routineSteps.toner.title","Rose Water Revitalize","",""
"routineSteps.toner.instructions","Apply 3-4 sprays or use a cotton pad. This balances your pH levels and prepares your skin to absorb serums more effectively.","",""
"routineSteps.serum.category","VITAMIN C SERUM","",""
"routineSteps.serum.title","Brightening Core","",""
"routineSteps.serum.instructions","Press 2-3 drops into skin, avoiding the eye area. Follow with moisturizer.","",""
"routineSteps.eye.category","EYE CARE","",""
"routineSteps.eye.title","Caffeine Eye Gel","",""
"routineSteps.eye.instructions","Dab gently along the orbital bone using your ring finger.","",""
"routineSteps.moisturizer.category","MOISTURIZER","",""
"routineSteps.moisturizer.title","Barrier Repair Cream","",""
"routineSteps.moisturizer.instructions","Warm a coin-sized amount between palms and press into skin.","",""
"routineSteps.spf.category","SUN PROTECTION","",""
"routineSteps.spf.title","SPF 50+ Shield","",""
"routineSteps.spf.instructions","Apply generously as the final step, 15 minutes before sun exposure.","",""
"routineSteps.pm_cleanse.category","DOUBLE CLEANSE","",""
"routineSteps.pm_cleanse.title","Cleansing Balm + Gel","",""
"routineSteps.pm_cleanse.instructions","Melt the balm over dry skin to lift SPF and makeup, emulsify with water, then follow with your gentle gel cleanser.","",""
"routineSteps.pm_toner.category","HYDRATING TONER","",""
"routineSteps.pm_toner.title","Calming Essence","",""
"routineSteps.pm_toner.instructions","Pat a few drops into slightly damp skin to replenish hydration after cleansing.","",""
"routineSteps.pm_treatment.category","NIGHT TREATMENT","",""
"routineSteps.pm_treatment.title","Retinol Renewal Serum","",""
"routineSteps.pm_treatment.instructions","Apply a pea-sized amount to dry skin, avoiding the eyes and corners of the nose. Start 2-3 nights a week.","",""
"routineSteps.pm_eye.category","EYE CARE","",""
"routineSteps.pm_eye.title","Peptide Eye Cream","",""
"routineSteps.pm_eye.instructions","Tap a rice-grain amount along the orbital bone with your ring finger.","",""
"routineSteps.pm_night_cream.category","NIGHT CREAM","",""
"routineSteps.pm_night_cream.title","Overnight Recovery Cream","",""
"routineSteps.pm_night_cream.instructions","Seal everything in with a generous layer, pressing it gently into cheeks, forehead and neck.","",""
"weekdays.monNarrow","M","",""
"weekdays.tueNarrow","T","",""
"weekdays.wedNarrow","W","",""
"weekdays.thuNarrow","T","",""
"weekdays.friNarrow","F","",""
"weekdays.satNarrow","S","",""
"weekdays.sunNarrow","S","",""
"routine.greetMorning","Good Morning, {{name}}","","Keep {{…}} placeholders unchanged"
"routine.greetAfternoon","Good Afternoon, {{name}}","","Keep {{…}} placeholders unchanged"
"routine.greetEvening","Good Evening, {{name}}","","Keep {{…}} placeholders unchanged"
"routine.comingUp","Coming up","",""
"routine.lookingBack","Looking back","",""
"routine.loading","Loading your routine…","",""
"routine.loadFailed","Could not load your routine. Check your connection.","",""
"routine.dayLoadFailed","Could not load that day. Please try again.","",""
"routine.stepsMeta","{{completed}}/{{total}} steps · {{time}}","","Keep {{…}} placeholders unchanged"
"routine.upcoming","Upcoming","",""
"routine.done","Done","",""
"routine.missed","Missed","",""
"routine.minsLeft","{{count}} mins left","","Keep {{…}} placeholders unchanged"
"routine.review","Review","",""
"routine.continue","Continue","",""
"routine.start","Start","",""
"routine.goToToday","Go to today","",""
"routine.dayA11y","{{day}} {{num}}","","Keep {{…}} placeholders unchanged"
"routine.dayDoneA11y",", done","",""
"routine.dayTodayA11y",", today","",""
"routine.oneThing","YOUR ONE THING","",""
"routine.oneThingStep","YOUR ONE THING · {{period}} · {{category}}","","Keep {{…}} placeholders unchanged"
"routine.finishTitle","Finish your routine","",""
"routine.allDoneTitle","You're all done today","",""
"routine.finishText","Every step is done. Log it to keep your streak going.","",""
"routine.allDoneText","Both routines are complete and your streak is logged. Rest up!","",""
"routine.dismissSuggestion","Dismiss suggestion","",""
"routine.markStepDone","Mark this step done","",""
"routine.markDone","Mark done","",""
"routine.finishRoutine","Finish routine","",""
"routine.openRoutine","Open routine","",""
"routine.overwhelmedTitle","Feeling Overwhelmed?","",""
"routine.overwhelmedDesc","Focus on just the most impactful step.","",""
"routine.oneThingBtn","Just give me one thing","",""
"routine.reminderTileA11y","{{label}} reminder at {{time}}","","Keep {{…}} placeholders unchanged"
"routine.increase","Increase {{unit}}","","Keep {{…}} placeholders unchanged"
"routine.decrease","Decrease {{unit}}","","Keep {{…}} placeholders unchanged"
"routine.morning","MORNING","",""
"routine.evening","EVENING","",""
"routine.morningReminder","MORNING REMINDER","",""
"routine.eveningReminder","EVENING REMINDER","",""
"routine.remindAm","Remind me to do my AM routine","",""
"routine.remindPm","Remind me to do my PM routine","",""
"routine.webReminderNote","Your time syncs to your account — reminders are delivered by the MyFace AI phone app.","",""
"routine.notificationSettings","Notification settings","",""
"routine.saveReminder","Save reminder","",""
"routine.auditA11y","View routine audit","",""
"routine.auditTitle","Routine Audit","",""
"routine.auditDesc","Your weekly audit is ready to view.","",""
"routine.stepSaveFailed","Could not save this step","",""
"routine.checkConnection","Please check your connection and try again.","",""
"routine.reminderSaveFailed","Could not save reminder","",""
"routine.reminderSaved","Reminder saved","",""
"routine.reminderNotScheduled","Your time is saved, but the notification could not be scheduled. Please try again.","",""
"routine.back","Back","",""
"routine.stats","Routine Stats","",""
"routine.dayStreak","{{count}} DAY STREAK","","Keep {{…}} placeholders unchanged"
"routine.upcomingReminders","Upcoming Reminders","",""
"routineStep.feelFresh","Fresh","",""
"routineStep.feelTired","Tired","",""
"routineStep.feelGlowy","Glowy","",""
"routineStep.feelOily","Oily","",""
"routineStep.feelDry","Dry","",""
"routineStep.completed","COMPLETED","",""
"routineStep.stepInfo","Step info","",""
"routineStep.markComplete","Mark Step Complete","",""
"routineStep.markCompleteA11y","Mark step complete","",""
"routineStep.saveRoutineFailed","Could not save your routine","",""
"routineStep.almostThere","Almost there!","",""
"routineStep.remaining_one","Complete the remaining {{count}} step to finish your {{routine}}.","","Keep {{…}} placeholders unchanged"
"routineStep.remaining_other","Complete the remaining {{count}} steps to finish your {{routine}}.","","Keep {{…}} placeholders unchanged"
"routineStep.closeRoutine","Close routine","",""
"routineStep.allDone","All done","",""
"routineStep.stepOf","Step {{step}} of {{total}}","","Keep {{…}} placeholders unchanged"
"routineStep.howFeel","HOW DO YOU FEEL?","",""
"routineStep.allDoneCard","Every step is done — tap Finish Routine to log today toward your streak.","",""
"routineStep.askCoachA11y","Ask coach","",""
"routineStep.askCoach","ASK COACH","",""
"routineStep.finishA11y","Finish routine","",""
"routineStep.finish","Finish Routine","",""
"routineStep.moreOptions","More options","",""
"routineComplete.pointsEarned","+{{count}} points","","Keep {{…}} placeholders unchanged"
"routineComplete.title","Routine Complete!","",""
"routineComplete.dayStreak","{{count}} Day Streak","","Keep {{…}} placeholders unchanged"
"routineComplete.aiBadge","AI","",""
"routineComplete.tipLabel","COACH TIP","",""
"routineComplete.tip","Great consistency! Your skin's hydration levels are peaking. Try to sleep on a silk pillowcase tonight to maintain these results.","",""
"routineComplete.logNote","LOG A NOTE","",""
"routineComplete.notePlaceholder","How does your face feel?","",""
"routineComplete.noteA11y","Log a note about how your face feels","",""
"routineComplete.addSelfieA11y","Add today's selfie","",""
"routineComplete.addSelfie","Add Today's Selfie","",""
"routineComplete.share","Share my streak","",""
"routineComplete.shareMessage","I'm on a {{count}}-day skincare streak on BeautyApp!","","Keep {{…}} placeholders unchanged"
"tools.deepScan.label","Deep Scan AI","",""
"tools.deepScan.desc","Complete map of skin texture and tone","",""
"tools.fullAnalysis.label","Full Scan Analysis","",""
"tools.fullAnalysis.desc","Every zone from your latest scan in detail","",""
"tools.symmetry.label","Symmetry Check","",""
"tools.symmetry.desc","Analyze facial proportions and balance","",""
"tools.scanHistory.label","Scan History","",""
"tools.scanHistory.desc","Review your past face scans","",""
"tools.routineBuilder.label","Daily Routine Builder","",""
"tools.routineBuilder.desc","Customized AM/PM skincare flows","",""
"tools.eyebrowTracker.label","Eyebrow Tracker","",""
"tools.eyebrowTracker.desc","Track fullness and growth over time","",""
"tools.eyelashTracker.label","Eyelash Tracker","",""
"tools.eyelashTracker.desc","Track length, density and aftercare","",""
"tools.undereyeTracker.label","Undereye Tracker","",""
"tools.undereyeTracker.desc","Monitor dark circles and depuffing habits","",""
"tools.lipVitality.label","Lip Vitality","",""
"tools.lipVitality.desc","Hydration, surface health and routine","",""
"tools.scalpTracker.label","Scalp & Hair Tracker","",""
"tools.scalpTracker.desc","Scalp health, wash cycle and hairline log","",""
"tools.aging.label","Aging Simulator","",""
"tools.aging.desc","Predict skin health over 10–20 years","",""
"tools.hairstylist.label","AI Hairstylist","",""
"tools.hairstylist.desc","Generate and preview new hairstyles","",""
"tools.lashStyler.label","Lash Styler","",""
"tools.lashStyler.desc","Preview lash styles with the AI visualizer","",""
"tools.tryon.label","Virtual Try-On","",""
"tools.tryon.desc","AR makeup and grooming placement","",""
"tools.occasionLooks.label","Looks for an Occasion","",""
"tools.occasionLooks.desc","AI makeup looks for any event","",""
"tools.savedLooks.label","My Makeup Looks","",""
"tools.savedLooks.desc","Your latest AI-generated looks","",""
"tools.browStyling.label","Brow Styling","",""
"tools.browStyling.desc","Find the brow shape that suits your face","",""
"tools.ingredients.label","Ingredient Analyzer","",""
"tools.ingredients.desc","Scan labels for irritants and actives","",""
"tools.productShelf.label","Product Shelf","",""
"tools.productShelf.desc","Track your routine and monitor results","",""
"tools.ingredientGuide.label","Ingredient Guide","",""
"tools.ingredientGuide.desc","Learn what’s in your products, weekly","",""
"tools.dupeFinder.label","Dupe Finder","",""
"tools.dupeFinder.desc","Find affordable alternatives to products","",""
"tools.productReviews.label","Product Reviews","",""
"tools.productReviews.desc","Read and write reviews from the community","",""
"tools.timelapse.label","Transformation Timelapse","",""
"tools.timelapse.desc","Compare your skin over weeks or months","",""
"tools.weeklyReport.label","Weekly Report","",""
"tools.weeklyReport.desc","Your routine consistency and zone trends","",""
"tools.rewards.label","Points & Rewards","",""
"tools.rewards.desc","Track your balance and earn more","",""
"tools.leaderboard.label","Leaderboard","",""
"tools.leaderboard.desc","See how you rank against others","",""
"tools.communities.label","Communities","",""
"tools.communities.desc","Join groups and share your journey","",""
"tools.challenges.label","Challenges","",""
"tools.challenges.desc","Join challenges and compare with friends","",""
"tools.coachChat.label","Chat with AI Coach","",""
"tools.coachChat.desc","Ask anything about your skin and routine","",""
"tools.coachStyle.label","Coach Style","",""
"tools.coachStyle.desc","Choose how your coach talks to you","",""
"tools.appSettings.label","Settings","",""
"tools.appSettings.desc","Profile, reminders, and account options","",""
"tools.notifications.label","Notifications","",""
"tools.notifications.desc","Choose which alerts you receive","",""
"tools.privacy.label","Data Privacy","",""
"tools.privacy.desc","Manage your scan and routine data","",""
"tools.teenControls.label","Teen Controls","",""
"tools.teenControls.desc","Safety settings for younger users","",""
"toolSections.face","FACE ANALYSIS","",""
"toolSections.routines","ROUTINES & CARE","",""
"toolSections.visualizers","AI VISUALIZERS","",""
"toolSections.makeup","MAKEUP & GROOMING","",""
"toolSections.products","PRODUCTS & INGREDIENTS","",""
"toolSections.progress","PROGRESS & RECAPS","",""
"toolSections.coach","AI COACH","",""
"toolSections.settings","SETTINGS & PERSONALIZATION","",""
"toolChips.analysis","Analysis","",""
"toolChips.makeup","Makeup","",""
"toolChips.serums","Serums","",""
"toolChips.progress","Progress","",""
"toolChips.coach","Coach","",""
"allTools.searchA11y","Search tools","",""
"allTools.clearSearchText","Clear search text","",""
"allTools.seeAll","See All","",""
"allTools.seeAllA11y","See all {{section}}","","Keep {{…}} placeholders unchanged"
"allTools.searchPlaceholder","Search tools...","",""
"allTools.searchSection","Search {{section}}...","","Keep {{…}} placeholders unchanged"
"allTools.quickAccess","QUICK ACCESS","",""
"allTools.noResults","No tools found","",""
"allTools.noResultsText","Nothing matches “{{query}}”. Try a different word.","","Keep {{…}} placeholders unchanged"
"allTools.clearSearch","Clear search","",""
"errors.timeout","The server is taking too long to respond. Please try again.","",""
"errors.offline","Could not reach the server. Check your connection and try again.","",""
"errors.generic","Something went wrong","",""
"errors.offlineFriendly","You’re offline or the server is waking up. Check your connection and try again.","",""
"camera.notReady","The camera is not ready yet.","",""
"camera.unavailable","Camera unavailable","",""
"camera.noCamera","No camera available","",""
"camera.accessOff","Camera access is off","",""
"camera.starting","Starting camera…","",""
"camera.allow","Allow Camera","",""
"camera.openSettings","Open Settings","",""
"camera.browserHint","Allow camera access in your browser's address bar.","",""
"camera.uploadInstead","You can upload a photo instead.","",""
"camera.chooseFromLibrary","Choose a photo from your library","",""
"camera.retake","Retake photo","",""
"camera.switch","Switch camera","",""
"camera.takeFailed","Could not take photo","",""
"camera.chooseSelfie","Choose a selfie","",""
"photo.permissionTitle","Permission needed","",""
"photo.cameraPermission","Allow camera access in your settings to take a photo.","",""
"photo.libraryPermission","Allow photo access in your settings to choose a photo.","",""
"photo.loadFailed","Could not load that photo","",""
"photo.tryDifferent","Please try a different photo.","",""
"photo.addTitle","Add a photo","",""
"photo.sourcePrompt","Take a new photo or choose one from your library.","",""
"photo.take","Take Photo","",""
"photo.library","Choose from Library","",""
"photo.saveFailed","Could not save image","",""
"photo.analyseFailed","Could not analyse your photo","",""
"tutorials.openFailed","Could not open tutorials","",""
"tutorials.search","{{query}} tutorial","","Keep {{…}} placeholders unchanged"
"reminders.amTitle","Time for your AM routine ☀️","",""
"reminders.amBody","Your morning skincare steps are ready — it only takes a few minutes.","",""
"reminders.pmTitle","Time for your PM routine 🌙","",""
"reminders.pmBody","Wind down with your evening skincare routine.","",""
"reminders.channel","Routine reminders","",""
"points.today","Today, {{time}}","","Keep {{…}} placeholders unchanged"
"points.yesterday","Yesterday, {{time}}","","Keep {{…}} placeholders unchanged"
"points.dateTime","{{date}}, {{time}}","","Keep {{…}} placeholders unchanged"
"points.amount","{{sign}}{{amount}} pts","","Keep {{…}} placeholders unchanged"
"trend.latest","Latest scan","",""
"trend.earlier","Earlier scan","",""
"trend.scoreA11y",", skin score {{score}}","","Keep {{…}} placeholders unchanged"
"scanFace.stopScanning","Stop scanning","",""
"scanFace.start","Start face scan","",""
"scanFace.flashOff","Turn flash off","",""
"scanFace.flashOn","Turn flash on","",""
"scanFace.openGallery","Open gallery","",""
"scanFace.tip1","Center your face
in the oval","",""
"scanFace.tip2","Ensure even,
bright lighting","",""
"scanFace.holdStill","Hold still","",""
"scanFace.noCamera","No live camera","",""
"scanFace.capturing","Capturing…","",""
"scanFace.position","Position your face in the oval","",""
